long,lat,easting,northing,Y_mean,Y_mean_c,Y_sd,prob,quantile,quantile_c,elevation,slope,aspect,curvature,twi
-98.92815396987292,27.093720351678204,507122.3221369926,2996842.549350129,-7.7823433959754515,16.60324863210181,0.2291119440672462,0.0001092186703189854,-7.405487783798539,28.29092287704886,191.0,2.0,270.0,3.0,7.941743691836643
-98.64254783423016,27.093284167134705,535435.6207609782,2996842.549350129,-7.835532772972925,15.40016835834906,0.2256155398260848,3.307560616190032e-05,-7.464428233993376,26.028416547692974,146.0,1.0,0.0,-1.0,8.607715418818213
-98.3569524607916,27.09226765395775,563748.9193849638,2996842.549350129,-7.885403577350186,14.351457751686922,0.2241578090231784,1.1268611396310229e-05,-7.516696792168916,24.17385883982885,89.0,2.0,246.0,1.0,7.941743691836643
-98.0713764465898,27.090670927800883,592062.2180089494,2996842.549350129,-7.924743285404463,13.574832820495322,0.2241934492988473,5.098686520424063e-06,-7.555977877186493,22.867605434071177,29.0,4.0,209.0,12.0,7.261413878822431
-97.78582838516306,27.08849417030608,620375.5166329355,2996842.549350129,-7.951064564025366,13.078820123170953,0.2275414695456388,4.027993020114712e-06,-7.576792152561354,22.204303733964032,16.0,2.0,114.0,-13.0,7.941743691836643
-81.5545738682424,26.00896189655357,2262546.836824108,2996842.549350129,-8.665254365591606,4.763513609540451,0.7216981918562841,0.0082664009098023,-7.478166477152478,25.52760910244298,5.0,3.0,0.0,5.0,7.545104852168523
-81.28495256827954,25.975110453163214,2290860.135448093,2996842.549350129,-8.61798180056893,5.092855740495752,0.749661955537971,0.01240116603834,-7.384897614014767,29.126810360464475,,,,,
-81.01581545528191,25.94079856828709,2319173.434072079,2996842.549350129,-8.569928016288198,5.450986915895539,0.7689448882802092,0.0167645553802634,-7.305126227874702,32.60512113297128,8.0,5.0,167.0,-5.0,7.040188830991998
-80.74716842597009,25.90602969485011,2347486.7326960647,2996842.549350129,-8.544494621595703,5.65061692716847,0.782227320757092,0.0198392283909095,-7.257845175947868,34.85974120359614,6.0,1.0,180.0,-3.0,8.607715418818213
-80.479017304657,25.87080731842684,2375800.031320051,2996842.549350129,-8.509859865243229,5.93427811220026,0.7771308147162097,0.0213821948408279,-7.231593426041519,36.17820546083199,6.0,1.0,0.0,3.0,8.607715418818213
-80.2113678428405,25.83513495639822,2404113.3299440364,2996842.549350129,-8.458747230943013,6.379113412517022,0.7528381230221978,0.0215115334998587,-7.220438713782613,36.753426100855904,9.0,4.0,228.0,2.0,7.261413878822431
-99.5005054008308,27.34846232078764,450495.7248890209,3025155.847974115,-7.629282431198376,20.61574814159847,0.2390399158228604,0.0018490278761554,-7.23609675867097,35.948538657022304,120.0,1.0,48.0,-3.0,8.607715418818213
-99.21425083096936,27.3491948313165,478809.0235130065,3025155.847974115,-7.684653346354408,19.063023384160942,0.2304560137122115,0.0005745518214506009,-7.305586936347099,32.58388519778753,135.0,0.0,0.0,4.0,11.522875795823396
-98.92798976153784,27.349340608163203,507122.3221369926,3025155.847974115,-7.745281135671235,17.496685004431374,0.2249015767199149,0.00015844163037784543,-7.375350961496379,29.52270646098456,275.0,2.0,294.0,5.0,7.941743691836643
-98.6417308766555,27.348899634691584,535435.6207609782,3025155.847974115,-7.801104242412223,16.168533360288507,0.2231866535866753,5.24691001094406e-05,-7.433994865773019,27.17308666781009,175.0,3.0,21.0,8.0,7.545104852168523
-98.35548286004357,27.34787196122504,563748.9193849638,3025155.847974115,-7.848984665423585,15.109971395189204,0.2244642461623189,2.349517900711803e-05,-7.479773836002567,25.469648430894544,94.0,3.0,159.0,4.0,7.545104852168523
-98.06925439344312,27.34625770503141,592062.2180089494,3025155.847974115,-7.888427528569592,14.290215480599166,0.2270777779452764,1.35257326471546e-05,-7.514917821916223,24.234751586427567,42.0,3.0,48.0,-6.0,7.545104852168523
-97.78305415503428,27.344057050287915,620375.5166329355,3025155.847974115,-7.914966143221973,13.763832639494158,0.2307504387636051,1.092107878951298e-05,-7.535415447101013,23.54233505108848,11.0,1.0,228.0,-12.0,8.607715418818213
-97.4968908178566,27.341270248025896,648688.8152569211,3025155.847974115,-7.928389143937927,13.50502174952454,0.2370864157342611,1.4049910561104538e-05,-7.538416693116503,23.442625992682096,0.0,0.0,0.0,0.0,11.522875795823396
